City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Grandview,US,69.8,heavy intensity rain,38.89,-94.53,Holiday Inn Express & Suites Kansas City-Grandview
8,Great Falls,US,63.0,clear sky,47.5,-111.29,Extended Stay America - Great Falls - Missouri River
43,Rikitea,PF,68.77,clear sky,-23.12,-134.97,People ThankYou
66,Simao,CN,66.97,light rain,22.76,100.79,Yunling Mountain Villa
70,Codrington,AU,62.6,scattered clouds,-28.95,153.24,
72,Umea,SE,68.0,clear sky,63.83,20.26,Hotel Avenue | ProfilHotels
87,Port Alfred,ZA,63.0,overcast clouds,-33.59,26.89,The Halyards Hotel & Spa
104,San Juan,AR,69.49,clear sky,-31.54,-68.53,Hotel Provincial
109,Timra,SE,66.2,clear sky,62.49,17.33,Bergefors park
110,Mareeba,AU,62.6,scattered clouds,-16.99,145.42,Mareeba Country Caravan Park
111,Airai,TL,64.81,clear sky,-8.93,125.41,
113,Luganville,VU,68.41,light rain,-15.51,167.18,The Espiritu Hotel
116,Lerwick,GB,62.6,broken clouds,60.15,-1.15,The Lerwick Hotel
122,Lenina,UA,66.07,clear sky,48.44,39.15,
133,Singaparna,ID,66.79,light rain,-7.35,108.11,D'yusril house
138,Katobu,ID,68.05,broken clouds,-4.94,122.53,La Ode Husein
143,Nhulunbuy,AU,66.2,few clouds,-12.18,136.78,Gove Peninsula Motel
146,Krasnoarmeyskoye,RU,66.99,clear sky,51.2,45.92,Dol Imeni Gagarina
153,Mount Isa,AU,60.8,scattered clouds,-20.73,139.49,ibis Styles Mt Isa Verona
154,Vao,EE,62.11,overcast clouds,59.1,26.19,
163,Preobrazheniye,RU,60.67,overcast clouds,42.9,133.91,Campsite Orlan
173,Marysville,US,66.99,clear sky,48.05,-122.18,"Holiday Inn Express & Suites Marysville, an IHG Hotel"
198,Veinticinco De Mayo,AR,70.0,overcast clouds,-27.38,-54.75,hotel colonial
199,Youghal,IE,64.99,broken clouds,51.95,-7.85,Walter Raleigh Hotel
204,Rengo,CL,60.8,haze,-34.41,-70.86,Hostal Cartagena
206,Talara,PE,62.6,clear sky,-4.58,-81.27,Hostal Oro Negro
207,Hibbing,US,61.0,heavy intensity rain,47.43,-92.94,Mitchell-Tappan House - Carriage House Rentals
210,Kroonstad,ZA,66.0,clear sky,-27.65,27.24,Travel Inn Kroonstad
213,Kodiak,US,68.0,moderate rain,39.95,-94.76,
220,Kununurra,AU,66.2,clear sky,-15.77,128.74,Hotel Kununurra
223,Anshun,CN,64.99,few clouds,26.25,105.93,安顺麦吉风格酒店
224,Nikolskoye,RU,66.2,clear sky,59.7,30.79,Tourist House - Sablino
227,Coquimbo,CL,66.2,clear sky,-29.95,-71.34,Hotel San Juan
249,Kemi,FI,64.4,clear sky,65.74,24.56,Hotel Merihovi
253,East London,ZA,62.6,scattered clouds,-33.02,27.91,Tu Casa
265,Chicama,PE,66.2,broken clouds,-7.84,-79.15,Balihai Bungalows
270,Bonavista,CA,62.01,clear sky,48.65,-53.11,Sweet Sharons bnb
273,Kang,BW,63.19,clear sky,-23.67,22.79,Kang Ultra Stop
275,Bafq,IR,69.85,clear sky,31.6,55.4,Alamdar Hotel
280,Boyolangu,ID,67.33,broken clouds,-8.09,111.9,Lojikka Hotel
